Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	fraction_of_Micelles	mean size	percent neutral
0	0.001	0.0010024998745898316	0.0010033481227895962	0.00099609375	0.001	8.809418860309392e-19	6.288372600415926e-18	0.0	6.272691657930417e-15	7.1382377204789575	0.0
1	0.00175	0.0017593844656109401	0.0017602594857917457	0.00173974609375	0.00175	4.631362618128935e-17	3.2591117304914263e-16	4.553649124439119e-18	1.8524158841880597e-13	7.037047191541447	0.013972055888223553
2	0.0025	0.0025205874556261743	0.002520949952452266	0.00248046875	0.0025	5.876140828280527e-16	4.142085979763621e-15	8.413408858487514e-17	1.6433018304991237e-12	7.048990316618528	0.0203120092136949
3	0.00325	0.0032861312215109293	0.0032854265359445194	0.0032182617187499997	0.00325	3.849147882929803e-15	2.7183116868556567e-14	7.029966886396011e-16	8.272072852908792e-12	7.062112887142691	0.02586151882578175
4	0.004	0.004056038545733486	0.004053696541612781	0.003953125	0.004	1.7174818795826264e-14	1.2151130796000942e-13	3.812922200197022e-15	2.9958124556736815e-11	7.07496884855277	0.03137915527542418
5	0.00475	0.004830332623370862	0.004825767568871305	0.00468505859375	0.00475	5.960219601919116e-14	4.2243292197596816e-13	1.5519703577826505e-14	8.745420966086018e-11	7.087539557098703	0.03673885904827609
6	0.0055	0.005597715690717472	0.005601441997679891	0.0054033203124999995	0.0055	1.7077344607790117e-13	1.2124225234888542e-12	5.0882908997351706e-14	2.165923727600848e-10	7.099596285805389	0.041967967446638645
7	0.00625	0.006379217208509987	0.006381077777348696	0.0061279296875	0.00625	4.3481028686854505e-13	3.0921593410782044e-12	1.4555631006052394e-13	4.847239465295539e-10	7.111513766952455	0.0470727068061667
8	0.006999999999999999	0.007165154114709774	0.007164530784317793	0.006849609375000001	0.007	9.995030679269194e-13	7.119655559550964e-12	3.7066096719717834e-13	9.936500242101697e-10	7.123195303760219	0.05206164316473702
9	0.00775	0.007955550977723463	0.007951809681609467	0.007568359375	0.00775	2.1177973909586706e-12	1.5109793624623613e-11	8.604107010201645e-13	1.8992768278316513e-09	7.134673830995613	0.05694390819593986
10	0.0085	0.008750432815405367	0.008742923436084613	0.0082841796875	0.0085	4.198668969411738e-12	3.0003631523722873e-11	1.852015069081503e-12	3.428816854738967e-09	7.1459864405377465	0.0617263636109241
11	0.00925	0.00953008070511792	0.009537284332307385	0.008979003906249998	0.00925	7.76384591392208e-12	5.556490163816097e-11	3.690624195140657e-12	5.830475455294e-09	7.156878466446937	0.0664200616996324
12	0.01	0.010332251299121065	0.010335991387681036	0.009687500000000002	0.01	1.3898774164147286e-11	9.96257781132881e-11	7.075702870840139e-12	9.642213998585475e-09	7.167954305659467	0.07102281161401922
13	0.01075	0.011138959392987825	0.011138552968390515	0.010393066406249998	0.01075	2.3905687998084192e-11	1.716182820854506e-10	1.2964759474320964e-11	1.5407030049277978e-08	7.178972723947712	0.07554416299229513
14	0.0115	0.011950231519276162	0.0119449791397948	0.011095703124999998	0.0115	3.971720438930975e-11	2.8556530057288754e-10	2.2842179536741725e-11	2.3896214906988222e-08	7.189964776316181	0.07998933865885256
15	0.01225	0.012766094712757386	0.012755280287105144	0.011795410156250002	0.01225	6.401716127273198e-11	4.609850921127867e-10	3.8890132433855307e-11	3.611011060822822e-08	7.200961163348907	0.08436310218973474
16	0.013000000000000001	0.0135577892658025	0.013568255182760459	0.012466796875000002	0.013	9.89998257968371e-11	7.139449153398258e-10	6.330998225667628e-11	5.2659390210515025e-08	7.211577491105397	0.08867628425722703
17	0.01375	0.014381029611449145	0.014386187222691636	0.013159179687500001	0.01375	1.5170751117643657e-10	1.0957293128388557e-09	1.0181549006671453e-10	7.619268873255879e-08	7.222643785675959	0.0929202941581687
18	0.0145	0.015208917930561793	0.01520801747644644	0.013848632812500001	0.0145	2.2758945682957244e-10	1.6463362860485997e-09	1.5986761740804933e-10	1.0824808796820081e-07	7.2337985642341875	0.09710508039141284
19	0.01525	0.016041482980826253	0.01603375748922943	0.01453515625	0.01525	3.3496052662555204e-10	2.4268121158466105e-09	2.4567626058513703e-10	1.5128352651355755e-07	7.2450689646768796	0.10123414951693989
20	0.016	0.016878754095814227	0.01686341915045872	0.01521875	0.016	4.845331426549723e-10	3.5160060037064955e-09	3.7027330507255485e-10	2.0830956975541412e-07	7.256481949698502	0.1053107715635926
21	0.01675	0.017682263948066868	0.017694945082610183	0.01586669921875	0.01675	6.797112905401981e-10	4.939809492010561e-09	5.401443667341077e-10	2.7936521627088426e-07	7.267511310698789	0.1093451817540159
22	0.0175	0.01852700904687912	0.018532284480325834	0.016542968749999998	0.0175	9.54047959520735e-10	6.9447626538376994e-09	7.870218400596318e-10	3.74845321026469e-07	7.279259480127597	0.11332595212951171
23	0.01825	0.019376522254160273	0.019373572548091755	0.017216308593749997	0.01825	1.3216122422382114e-09	9.636182352057432e-09	1.1299669325226525e-09	4.973122743937435e-07	7.291232665746279	0.11726292542413251
24	0.019	0.02023083492597121	0.020218822433366406	0.017886718750000002	0.019	1.808776444607056e-09	1.3210329864732362e-08	1.6005464661961177e-09	6.529799641523288e-07	7.303461908805549	0.12115870554217568
25	0.01975	0.021066588466561675	0.02106657517404436	0.018534912109375003	0.01975	2.4294878294419526e-09	1.777324274906955e-08	2.221996975304563e-09	8.436697179175667e-07	7.315633580742004	0.1250192216848491
26	0.0205	0.021905060736620362	0.021918070564565177	0.0191787109375	0.0205	3.2294694039767657e-09	2.3665847510845328e-08	3.0491847241576053e-09	1.0803826474345869e-06	7.328091568758392	0.12884325071224506
27	0.02125	0.022771786446810174	0.022775030210994338	0.019838867187499998	0.02125	4.2844393460135684e-09	3.145320598071932e-08	4.1716354502729924e-09	1.3812357697182438e-06	7.341265318643098	0.13262989638735673
28	0.022000000000000002	0.02364341197326732	0.023635996372770984	0.020496093749999996	0.022	5.6336070384516395e-09	4.14343796356631e-08	5.651026469682963e-09	1.7524703998945384e-06	7.354857971608022	0.1363849662858003
29	0.02275	0.02451997180762981	0.0245009839864401	0.021150390625	0.02275	7.346351974413698e-09	5.413475275689583e-08	7.584867178778154e-09	2.2077820146616514e-06	7.368929904997677	0.14011086764983835
30	0.0235	0.025343677834629725	0.02536571310378203	0.021755859375	0.0235	9.359025362408525e-09	6.909401435717388e-08	9.936756781986356e-09	2.7262820656109938e-06	7.382607876531353	0.1438150160246789
31	0.02425	0.026227902294710448	0.02623848339029359	0.022402832031250004	0.02425	1.2021745191105274e-08	8.893453664476914e-08	1.3116910137916937e-08	3.3908368136137654e-06	7.3978058286055335	0.14748949769997408
32	0.025	0.027117135264511042	0.02711530989209072	0.023046875	0.025	1.5337398951502e-08	1.137075994819825e-07	1.718606877990081e-08	4.193201028531758e-06	7.4137472619402045	0.15114265764289592
33	0.02575	0.028011414179585945	0.027996209127461542	0.02368798828125	0.02575	1.944315696434841e-08	1.4447369951764433e-07	2.236129947527643e-08	5.157672461354463e-06	7.430567977338036	0.1547776484573615
34	0.0265	0.02887714992626827	0.02887839920903328	0.024300292968749998	0.0265	2.4307477046168302e-08	1.810370881399903e-07	2.8676016866624465e-08	6.269215923393771e-06	7.447794264955523	0.15839857545902528
35	0.02725	0.029745566173510884	0.02976433833642565	0.024908203125	0.02725	3.021600277892255e-08	2.2559748425951542e-07	3.6548491545718154e-08	7.584239040654577e-06	7.466159104833119	0.1620075315364541
36	0.027999999999999997	0.030652730693867408	0.03065718734430408	0.0255390625	0.028	3.7660670649395196e-08	2.8195308530987173e-07	4.669428393250241e-08	9.198302367439035e-06	7.486671916566087	0.16561011872306527
37	0.02875	0.03156506389420481	0.03155416633228557	0.0261669921875	0.02875	4.670765834168097e-08	3.507287961723726e-07	5.934780118038718e-08	1.1111296886579871e-05	7.509021188916879	0.16921279868682218
38	0.0295	0.03248260815710116	0.03245529424949013	0.0267919921875	0.0295	5.7659756432688414e-08	4.3438696425979195e-07	7.507200438378048e-08	1.3372909039781917e-05	7.533624682700354	0.17282287582387598
39	0.03025	0.033325570333517865	0.033353063203754335	0.027354980468749998	0.03025	6.97253023838959e-08	5.270387772315921e-07	9.298964806503385e-08	1.5814846436446796e-05	7.558787975271937	0.17643796259828565
40	0.031	0.034251030047078516	0.03426211838439562	0.02797265625	0.031	8.534809380646001e-08	6.477315457123489e-07	1.166487257897586e-07	1.891130120238816e-05	7.589291299008742	0.18008807284732914
41	0.03175	0.03518179621007197	0.035175368099281415	0.02858740234375	0.03175	1.0408061728849056e-07	7.935127907601758e-07	1.4583209038271372e-07	2.2554641213372903e-05	7.624020796885915	0.18378039028584317
42	0.0325	0.036117916804716925	0.03609283379027897	0.029199218750000002	0.0325	1.2648851599841688e-07	9.694149840366872e-07	1.8179897681713797e-07	2.6840279556491024e-05	7.66405532063338	0.18753472951296762
43	0.03325	0.03696885012740543	0.03700520362196811	0.0297431640625	0.03325	1.506866077591563e-07	1.161288252754522e-06	2.2219754552271764e-07	3.1412614910996264e-05	7.706645401498579	0.19133711634099057
44	0.034	0.03791302842169219	0.037930676866770936	0.03034765625	0.034	1.8202265924648674e-07	1.4126951176571256e-06	2.758883901748943e-07	3.7261468589220975e-05	7.761094819212143	0.1952922373175887
