Stock Solution c_S1=0.027893829345703128,c_Ion1=0.105,c_Stot=0.3060645740716982
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
0	0.001	0.0010024998745898316	0.0010033481227895962	0.00099609375	0.001	8.809418860309392e-19	6.288372600415926e-18	0.0
1	0.00175	0.0017593844656109401	0.0017602594857917457	0.00173974609375	0.00175	4.631362618128935e-17	3.2591117304914263e-16	4.553649124439119e-18
2	0.0025	0.0025205874556261743	0.002520949952452266	0.00248046875	0.0025	5.876140828280527e-16	4.142085979763621e-15	8.413408858487514e-17
3	0.00325	0.0032861312215109293	0.0032854265359445194	0.0032182617187499997	0.00325	3.849147882929803e-15	2.7183116868556567e-14	7.029966886396011e-16
4	0.004	0.004056038545733486	0.004053696541612781	0.003953125	0.004	1.7174818795826264e-14	1.2151130796000942e-13	3.812922200197022e-15
5	0.00475	0.004830332623370862	0.004825767568871305	0.00468505859375	0.00475	5.960219601919116e-14	4.2243292197596816e-13	1.5519703577826505e-14
6	0.0055	0.005597715690717472	0.005601441997679891	0.0054033203124999995	0.0055	1.7077344607790117e-13	1.2124225234888542e-12	5.0882908997351706e-14
7	0.00625	0.006379217208509987	0.006381077777348696	0.0061279296875	0.00625	4.3481028686854505e-13	3.0921593410782044e-12	1.4555631006052394e-13
8	0.006999999999999999	0.007165154114709774	0.007164530784317793	0.006849609375000001	0.007	9.995030679269194e-13	7.119655559550964e-12	3.7066096719717834e-13
9	0.00775	0.007955550977723463	0.007951809681609467	0.007568359375	0.00775	2.1177973909586706e-12	1.5109793624623613e-11	8.604107010201645e-13
10	0.0085	0.008750432815405367	0.008742923436084613	0.0082841796875	0.0085	4.198668969411738e-12	3.0003631523722873e-11	1.852015069081503e-12
11	0.00925	0.00953008070511792	0.009537284332307385	0.008979003906249998	0.00925	7.76384591392208e-12	5.556490163816097e-11	3.690624195140657e-12
12	0.01	0.010332251299121065	0.010335991387681036	0.009687500000000002	0.01	1.3898774164147286e-11	9.96257781132881e-11	7.075702870840139e-12
13	0.01075	0.011138959392987825	0.011138552968390515	0.010393066406249998	0.01075	2.3905687998084192e-11	1.716182820854506e-10	1.2964759474320964e-11
