Stock Solution c_S1=0.021533203124999997,c_Ion1=0.105,c_Stot=0.2798069621579237
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	fraction_of_Micelles	mean size	percent neutral
0	0.001	0.0010083953302917423	0.001008336563339661	0.000998046875	0.001	2.5426546063953103e-17	1.7824283715661693e-16	1.5178830414797062e-18	1.7675888791060633e-13	7.010108125118479	0.00851581508515815
1	0.00175	0.0017748820125333895	0.001775519919090124	0.0017431640625000001	0.00175	1.3309609371306487e-15	9.350810056818482e-15	1.3422422895370545e-16	5.268412204747932e-12	7.025608187252602	0.014354288894557428
2	0.0025	0.0025501363459977484	0.0025520603622359787	0.0024853515625	0.0025	1.6828652797497287e-14	1.1842610225798467e-13	2.417770844642675e-15	4.64391256741412e-11	7.037170692332347	0.020415861018339487
3	0.00325	0.003340798076025438	0.0033381222694487717	0.0032309570312499996	0.00325	1.1148135855686839e-13	7.858301682983626e-13	2.0727777133577874e-14	2.352222883321545e-10	7.048982704112799	0.02637691701053145
4	0.004	0.004135286102264332	0.004133438773149301	0.00396875	0.004	4.965338583737356e-13	3.5060574235523667e-12	1.1313606301799339e-13	8.478391426490606e-10	7.061064143813926	0.03226874216548427
5	0.00475	0.004938672611557043	0.004938105127599394	0.0047036132812500004	0.00475	1.7212882388665408e-12	1.2175358811428172e-11	4.637462289180938e-13	2.4653099666773777e-09	7.073399176564165	0.038088916811454224
6	0.0055	0.005750995909621131	0.005752114917269773	0.005435546874999999	0.0055	4.999950895620025e-12	3.542962017516471e-11	1.5532323691114236e-12	6.160606046666233e-09	7.0859936256976415	0.04383993848740724
7	0.00625	0.006572296504467538	0.0065754628987049445	0.006164550781250001	0.00625	1.2734290017252368e-11	9.039860700277291e-11	4.47680347653856e-12	1.3754493112312293e-08	7.098833690790866	0.04952292546279211
8	0.006999999999999999	0.0074026172216812534	0.007408145037308699	0.006890625000000001	0.007	2.929865345316498e-11	2.08369429349764e-10	1.148935113715055e-11	2.8148075621076075e-08	7.111911463195757	0.05513933196920551
9	0.00775	0.00825867213232402	0.008251170078774102	0.007628906249999999	0.00775	6.305580145658825e-11	4.4930302013634904e-10	2.7268439242722486e-11	5.4403784644482984e-08	7.125482663885871	0.06069053182515308
10	0.0085	0.00910895819852185	0.009102723104759658	0.008350585937500002	0.0085	1.252663088135845e-10	8.942810849482674e-10	5.918161967433111e-11	9.817600053246334e-08	7.139039167180179	0.06617787256201965
11	0.00925	0.009968441105149776	0.009963626530434755	0.009069335937499999	0.00925	2.355818495181156e-10	1.6850718945193854e-09	1.2065580652642627e-10	1.6904066310316706e-07	7.152808664870458	0.07160276479529058
12	0.01	0.010837174990798318	0.01083388186302015	0.009785156250000003	0.01	4.230160580272639e-10	3.0316647126743534e-09	2.333370701518289e-10	2.7974677120637935e-07	7.166783991162243	0.07696664778803751
13	0.01075	0.0117152170992987	0.011713492073102419	0.010498046875	0.01075	7.301004412997551e-10	5.2428212951594055e-09	4.313321678994786e-10	4.4752233362139345e-07	7.180958945629341	0.08227100326645105
14	0.0115	0.012602627980068315	0.01260246165900932	0.0112080078125	0.0115	1.2176830990834233e-09	8.761629631884316e-09	7.6679469371288e-10	6.952224286665662e-07	7.1953282742278235	0.08751735988958594
15	0.01225	0.013499471708750571	0.01350079671770469	0.0119150390625	0.01225	1.971005601763861e-09	1.4210729558372659e-08	1.317438528061765e-09	1.052687828454875e-06	7.20988796056968	0.09270731123621717
16	0.013000000000000001	0.014405816130619383	0.014408505022995894	0.012619140625	0.013	3.1073112714447464e-09	2.2449191058176998e-08	2.196485679104021e-09	1.5583421900312556e-06	7.2246354153439	0.09784253131490735
17	0.01375	0.015321733129539303	0.015325596111959498	0.0133203125	0.01375	4.785276239008431e-09	3.464334087308063e-08	3.565658488954848e-09	2.261058888063422e-06	7.239569701468094	0.10292478724895493
18	0.0145	0.016247298925636068	0.016252081380621126	0.0140185546875	0.0145	7.21659763827446e-09	5.23541919296433e-08	5.651947038859406e-09	3.2223320423455357e-06	7.254691830395793	0.10795595979123947
19	0.01525	0.01718259440524716	0.017187974190076033	0.0147138671875	0.01525	1.0680121865876172e-08	7.764454028336143e-08	8.76902388202705e-09	4.5187902625258155e-06	7.270005085938376	0.11293806171077526
20	0.016	0.018127705487197034	0.018133289984413055	0.01540625	0.016	1.5538950880782633e-08	1.1320926627741978e-07	1.3344345791560519e-08	6.245096289620082e-06	7.28551542159955	0.11787326453348919
21	0.01675	0.019082723529990252	0.019088046422010608	0.016095703125	0.01675	2.2261027187141218e-08	1.6253292290518973e-07	1.9953179622445028e-08	8.517281228214322e-06	7.301231948500322	0.12276392539919011
22	0.0175	0.02004774578515517	0.02005226352201885	0.0167822265625	0.0175	3.144376993001495e-08	2.3007933235008604e-07	2.936102691530884e-08	1.1476568728263392e-05	7.317167529917004	0.12761262220038713
23	0.01825	0.021022875902725363	0.021025963828134753	0.017465820312499998	0.01825	4.384341741572036e-08	3.2151866593763123e-07	4.2576207132799526e-08	1.529375273988799e-05	7.333339527095087	0.13242219392966298
