Stock Solution c_S1=0.025378417968749997,c_Ion1=0.105,c_Stot=0.3241337282390932
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	fraction_of_Micelles	mean size	percent neutral
63	0.04825	0.05908479034022926	0.05909816772278053	0.037601074218749996	0.04825	0.00021654116464803124	0.006659823050453054	0.0032240384768206787	0.11271636934147768	30.755459643333936	0.48410272351025213
64	0.049	0.06080974237435943	0.060820878731514184	0.0375634765625	0.049	0.00026514844824738766	0.008301240131369438	0.004082452966132431	0.13651168064921246	31.30789633595838	0.4917883233741557
65	0.04975	0.0626309395735045	0.06263264489382779	0.03749468994140624	0.04975	0.0003173356461943593	0.01009205565852847	0.0050381662978749644	0.16113530672303422	31.802464612964933	0.4992210178327121
66	0.0505	0.06461667497875398	0.06456390900186709	0.03740649414062501	0.0505	0.0003744786235552039	0.012080945136123733	0.006118894556655194	0.18696327441942748	32.26070695686269	0.5064913785891498
67	0.05125	0.06654379110577123	0.0665088701549032	0.03728637695312499	0.05125	0.000430602984112541	0.01406633743880626	0.007222422376244882	0.21138467173365347	32.66660463999462	0.5134543663313265
68	0.052000000000000005	0.06847638529777468	0.06849274115915599	0.03714648437500001	0.052	0.00048705216634089963	0.016091913135490916	0.008371036383537318	0.23499945368777908	33.03940367699298	0.52020143988193
69	0.05275	0.07057336726700927	0.07059242454441635	0.03699969482421875	0.05275	0.0005477812507444278	0.018294722024034767	0.009638318995101175	0.25922983035254643	33.397860914685324	0.5268360449772778
70	0.0535	0.07283491569139033	0.07281011657638539	0.0368465576171875	0.0535	0.0006127000600069919	0.02067405896504628	0.01102639157073812	0.2838481896875473	33.74254437776676	0.5333443030892234
71	0.05425	0.07494065550909054	0.07498029777750428	0.036674377441406246	0.05425	0.0006733504783676711	0.022931392998757107	0.012373396133415301	0.3059940274471639	34.05565709902982	0.539583274949147
72	0.055	0.07748208610337931	0.07741032678818724	0.036510009765625004	0.055	0.0007451029395081192	0.02561219348971979	0.013979208611738556	0.3305563231163795	34.37403361558031	0.5458028660196372
73	0.05575	0.0797709107740028	0.07973770858469767	0.036327331542968744	0.05575	0.0008099221496680163	0.02807307011359518	0.015488825376183055	0.351921143198783	34.66144261532076	0.5517325078272131
74	0.0565	0.08211203617342093	0.08212086103882738	0.03614013671875001	0.0565	0.0008757390521968295	0.030595271603826184	0.017056811307084932	0.37260398145783225	34.9365162225855	0.5574982803863013
75	0.05725	0.08449187759207967	0.08455146428466868	0.035948974609375	0.05725	0.0009421763206155331	0.03316428645158885	0.018674730518338817	0.39251449247824144	35.199660324643155	0.5630976124150604
76	0.057999999999999996	0.08717180049345088	0.08717482529249171	0.03576147460937501	0.058	0.0010160086420942466	0.0360283234238584	0.020485637500332207	0.41330250401980817	35.460646623630154	0.5685981348431652
77	0.05875	0.08992250079848862	0.0898651322064445	0.0355712890625	0.05875	0.0010912429283556166	0.03896902454212129	0.02236561106346341	0.43336233085252746	35.71067773226566	0.5739330487805413
78	0.0595	0.09240856477954501	0.09242980142897952	0.0353717041015625	0.0595	0.001159197640617733	0.04166259964277744	0.024124159414304583	0.4508521449518239	35.940894100315425	0.5790363448548441
79	0.06025	0.09526280622124085	0.09522839851339529	0.035177703857421874	0.06025	0.0012362528151155423	0.04471595612630051	0.02611628420494741	0.469395747406926	36.170559597165635	0.5840484352203449
80	0.061	0.09818782768423501	0.09809201266356285	0.034982666015625	0.061	0.0013147007053044052	0.04784314115547077	0.028175097632661655	0.48726142826309254	36.3908994362281	0.5889056811948036
81	0.06175	0.10076419274165915	0.10077310509961603	0.03477960205078125	0.06175	0.00138377978818665	0.05063683908328829	0.030055291050174973	0.5025281075104906	36.59313390437972	0.5935459557564315
82	0.0625	0.10382955018134407	0.10376256013434829	0.03458404541015625	0.0625	0.001465017529570785	0.05390776193931537	0.032242839608994	0.5191947942099573	36.79666683245016	0.5981112635558895
83	0.06325	0.10651068771488129	0.10654331091182782	0.03438137817382812	0.06325	0.0015360427433361587	0.05680805534714279	0.03422534280148991	0.5333554459737637	36.98338187110624	0.6024734096660342
84	0.064	0.10980014377401993	0.10970774650138677	0.0341875	0.064	0.0016222295722710376	0.06030263613321334	0.03659004603499695	0.5492036172313436	37.172689466382224	0.6067735737815279
85	0.06475	0.11269175610289314	0.1126511553696548	0.03398742675781251	0.06475	0.0016979188255657497	0.06341137304461991	0.03873711099712061	0.5626975320778762	37.34652804941433	0.6108858574922031
86	0.0655	0.11572835342444286	0.1156995676408655	0.0337894287109375	0.0655	0.001776964714156645	0.06666271152623299	0.0409898608942222	0.5760274777412777	37.51493262367418	0.6148843927251886
87	0.06625	0.11896085324593134	0.11888520292483479	0.033594055175781255	0.06625	0.0018606496043595655	0.07010659704607553	0.04338030704202123	0.5893249344903576	37.67855961800297	0.618776390095083
88	0.067	0.12173870923790325	0.1218057684261888	0.033393676757812504	0.067	0.0019325421563957416	0.07310577269925876	0.045508731681046216	0.6005137819918444	37.82881137020244	0.6225053097825699
89	0.06775	0.12512948779911182	0.12512159551118163	0.033200973510742186	0.06775	0.002019621235712248	0.07670568696861318	0.048031145626009256	0.6130104767291923	37.98023392319988	0.6261745057529161
90	0.0685	0.1280741609551746	0.12817366936546584	0.03300408935546875	0.0685	0.0020951927509355282	0.07986798403575945	0.05029257937986424	0.6236073181358799	38.11963553238596	0.6296963669115104
91	0.06925	0.13179925279764057	0.1317310476031313	0.032815979003906245	0.06925	0.0021901059067999927	0.08379655368839753	0.053057582077384174	0.6357892925011911	38.261416230247214	0.6331714103026475
92	0.07	0.13511739618221968	0.1350470697118752	0.03262451171875001	0.07	0.002274540035572323	0.08732520847572572	0.05558370311665092	0.6462913802598647	38.39246929489761	0.6365138324531093
93	0.07075	0.1379802523431224	0.13808590108103785	0.032429962158203124	0.07075	0.002347363237431403	0.09040513611119891	0.05783504060947567	0.6552034408980782	38.51348383990393	0.6397318017235015
94	0.0715	0.14136477295169309	0.14146940148977383	0.0322413330078125	0.0715	0.0024330194050577302	0.09399752222325038	0.06043023403662731	0.6649288946643803	38.63410297009942	0.6428917763715247
95	0.07225	0.14540437455391297	0.14528808898859064	0.03205917358398438	0.07225	0.0025347759353320396	0.09823479076197379	0.06345954172406028	0.6755972168192941	38.75482222814525	0.645998644999661
96	0.073	0.148532652914745	0.14853235865203152	0.03187066650390624	0.073	0.002613629099424318	0.10157299596126348	0.06591800188698176	0.68384287204218	38.862819511627	0.648971719925645
97	0.07375	0.15244126315941092	0.1522946094038971	0.031689453125	0.07375	0.0027116875979345443	0.10567985833580752	0.06889301840734675	0.6932496893921428	38.971988667242655	0.6519030162628797
98	0.0745	0.15539378687462518	0.15544574782614579	0.03150244140625	0.0745	0.0027858451187537606	0.10884193222179303	0.07126031876997649	0.7004265383506542	39.06962791617186	0.6547138342304096
99	0.07525	0.15928472537784155	0.15922124143762043	0.031323547363281246	0.07525	0.0028830978345664665	0.11292926233869696	0.0742501784395982	0.7089773490258772	39.16941734850223	0.6574928136598235
100	0.076	0.16290401615254307	0.16283051044047503	0.03114404296875	0.076	0.0029734570541147453	0.11674710984689013	0.07707525581890505	0.7166619498046525	39.26308930049368	0.660189840416492
101	0.105	0.3241337282390932	0.32395346421672655	0.025378417968749997	0.105	0.0069266569130683985	0.28430915153982417	0.208199968822793	0.8771353511539135	41.04565234109159	0.7323013265495596
