	x	y	T	K	G_plusfac	yhat	G	G_fit	K	H	cp
14	5	0	305	161.66825598914963	-5.953243334287785	-5.08554643308177	-5.953243334287785	-5.08554643308177	161.66825598914963	70.65214057692441	4.469343707630899
15	5	1	305	6738.392285554045	-7.530479995245536	-7.206138729718074	-9.139917907679637	-8.815576642152173	6738.392285554045	69.95847733351223	3.8932839601719063
16	5	2	305	112343.4661089232	-8.560252680876683	-9.326731026354377	-10.86283777387073	-11.629316119348424	112343.4661089232	69.26481409010006	3.3172242127129135
17	5	3	305	936503.385564545	-11.863582336583399	-11.447323322990682	-14.166167429577444	-13.749908415984727	936503.385564545	68.5711508466879	2.74116446525392
18	5	4	305	3903380.5060078776	-13.4327849368256	-13.567915619626985	-15.0422228492597	-15.177353532061085	3903380.5060078776	67.87748760327572	2.1651047177949274
19	5	5	305	6507773.323423705	-15.324022551808413	-15.688507916263289	-15.324022551808413	-15.688507916263289	6507773.323423705	67.18382435986355	1.5890449703359346
20	6	0	305	1821.784154325484	-7.955074273262696	-7.507571604460546	-7.955074273262696	-7.507571604460546	1821.784154325484	87.68948638331655	4.7585820485567725
21	6	1	305	91119.1591670936	-9.944309547056383	-9.628163901096851	-11.736069016284437	-11.419923370324906	91119.1591670936	86.99582313990437	4.182522301097779
22	6	2	305	1898940.009716326	-12.0035483814187	-11.748756197733153	-14.71159858252091	-14.456806398835363	1898940.009716326	86.30215989649221	3.606462553638787
23	6	3	305	21106271.207727544	-13.989463865087714	-13.869348494369458	-16.985196138641705	-16.86508076792345	21106271.207727544	85.60849665308004	3.0304028061797936
24	6	4	305	131957570.34625421	-15.869634291659821	-15.989940791005763	-18.57768449276203	-18.69799099210797	131957570.34625421	84.91483340966786	2.454343058720801
25	6	5	305	440003199.68879235	-17.730861353485096	-18.110533087642068	-19.52262082271315	-19.902292556870123	440003199.68879235	84.22117016625569	1.878283311261808
26	6	6	305	611316498.7691498	-20.78153474507039	-20.231125384278368	-20.78153474507039	-20.231125384278368	611316498.7691498	83.52750692284351	1.3022235638028148
27	7	0	305	23975.19668942847	-9.464982590349763	-10.08477510365661	-9.464982590349763	-10.08477510365661	23975.19668942847	107.66989377432346	5.685699393056352
28	7	1	305	1399013.0047455966	-11.937259057382775	-12.205367400292914	-13.883169206438088	-14.151277549348228	1399013.0047455966	106.97623053091128	5.109639645597359
29	7	2	305	34986825.51211617	-14.099614809068171	-14.325959696929216	-17.144137246791594	-17.37048213465264	34986825.51211617	106.28256728749912	4.533579898138367
30	7	3	305	486087912.32067287	-16.25661458509388	-16.44655199356552	-19.811962646583297	-20.001900055054936	486087912.32067287	105.58890404408695	3.9575201506793736
31	7	4	305	4052064542.2222247	-18.35576119785305	-18.567144290201824	-21.911109259342464	-22.12249235169124	4052064542.2222247	104.89524080067477	3.3814604032203808
32	7	5	305	20266984598.665997	-20.511956743279203	-20.68773658683813	-23.556479181002626	-23.732259024561554	20266984598.665997	104.2015775572626	2.805400655761388
33	7	6	305	56315690768.73847	-22.592867792938403	-22.80832888347443	-24.538777941993715	-24.754239032529743	56315690768.73847	103.50791431385042	2.2293409083023947
34	7	7	305	67064533551.82284	-25.664908259555716	-24.928921180110734	-25.664908259555716	-24.928921180110734	67064533551.82284	102.81425107043826	1.6532811608434024
35	8	0	305	339462.45131387486	-12.739637756265655	-12.73511861990513	-12.739637756265655	-12.73511861990513	339462.45131387486	132.23844333336868	7.705994597927049
