Stock Solution c_S1=0.02102691650390625,c_Ion1=0.105,c_Stot=0.30445209889982483
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
0	0.001	0.0010050643340221309	0.0010041027497116343	0.00099609375	0.001	1.3976272886613655e-17	9.77950359581925e-17	1.3010426069826053e-18
1	0.00175	0.001763782985534736	0.0017625587855933458	0.001736328125	0.00175	7.39172058241854e-16	5.2067725131443865e-15	1.0104764247564901e-16
2	0.0025	0.002526696734879296	0.0025256182555566473	0.0024707031250000002	0.0025	9.42626762202341e-15	6.656957970974098e-14	1.803678734146885e-15
3	0.00325	0.0032937843877310644	0.003293274842472772	0.00319921875	0.00325	6.201367247298672e-14	4.390342256410662e-13	1.510857411402e-14
4	0.004	0.004065023790475488	0.0040655222853263956	0.003921875	0.004	2.7771241086132826e-13	1.9708800563789097e-12	8.167251597246405e-14
5	0.00475	0.004840391836478342	0.004842354358382688	0.004638671875	0.00475	9.666878314476761e-13	6.876857590321084e-12	3.315290750260935e-13
6	0.0055	0.005619864474168487	0.005623764851450481	0.005349609375	0.0055	2.8161841720513412e-12	2.008142957476977e-11	1.0994408508602227e-12
7	0.00625	0.006403416717142013	0.006409747551326976	0.0060546875	0.00625	7.185478939047266e-12	5.135887982260501e-11	3.137205772940632e-12
8	0.006999999999999999	0.0072060926838761925	0.007200715382156092	0.006767578125000001	0.007	1.6786959469231628e-11	1.2027631321465115e-10	8.086328481815563e-12
9	0.00775	0.007999516018404254	0.007995922153115537	0.00746240234375	0.00775	3.562041686208196e-11	2.5582529671053233e-10	1.8730423462232082e-11
10	0.0085	0.008796974792527775	0.008795693517439154	0.008151367187500001	0.0085	7.070002330168852e-11	5.089922459206031e-10	4.02355492673534e-11
11	0.00925	0.009598441054799576	0.009600023336948439	0.008834472656249998	0.00925	1.327425861294247e-10	9.579962344241633e-10	8.118610471397059e-11
12	0.01	0.010403886023551356	0.010408905405871381	0.009511718750000002	0.01	2.377990414782201e-10	1.7204585291141772e-09	1.553849444946298e-10
13	0.01075	0.01121328011745176	0.011222333442406588	0.010183105468750002	0.01075	4.0921327892234425e-10	2.9681560334560153e-09	2.842604415742578e-10
14	0.0115	0.012052969251737447	0.012041484031857898	0.01087109375	0.0115	6.904019723014494e-10	5.0211661738186475e-09	5.076996930503119e-10
