Stock Solution c_S1=0.025378417968749997,c_Ion1=0.105,c_Stot=0.3241337282390932
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount
0	0.001	0.0010030408563121316	0.001003449331546379	0.00099609375	0.001	3.648351553647779e-18	2.5587171270657905e-17	2.168404344971009e-19
1	0.00175	0.001761046532084093	0.0017605725281048463	0.00173974609375	0.00175	1.9106386297969055e-16	1.3426759704060487e-15	1.9081958235744878e-17
2	0.0025	0.002523990492123649	0.002521595150010687	0.00248046875	0.0025	2.4148345018611917e-15	1.6996386936751762e-14	3.378373969464832e-16
3	0.00325	0.003285333743213926	0.0032864547489567047	0.0032119140624999997	0.00325	1.5540256683415838e-14	1.0954388438011442e-13	2.783363817204787e-15
4	0.004	0.004056661231030673	0.004055269820599484	0.0039453125	0.004	6.907728313400316e-14	4.87662861481386e-13	1.5004490705461393e-14
5	0.00475	0.004823238663680792	0.004827850891813156	0.00466650390625	0.00475	2.3550182310778537e-13	1.6650040721155612e-12	5.993903290368863e-14
6	0.0055	0.005602969965982263	0.005604469548553497	0.005392578125	0.0055	6.818499561355643e-13	4.8277770670068776e-12	1.9847491705693443e-13
7	0.00625	0.006387738803548143	0.006385026244897454	0.00611572265625	0.00625	1.730046509321196e-12	1.226731303344275e-11	5.657340915177222e-13
8	0.006999999999999999	0.007162859797475372	0.0071691846893778685	0.006822265625000001	0.007	3.907680683588236e-12	2.7747963649016327e-11	1.416097274165029e-12
9	0.00775	0.00795609145992933	0.007957572437272657	0.007538085937499999	0.00775	8.253099567075891e-12	5.868963995347976e-11	3.2791581949798143e-12
10	0.0085	0.008754430813353354	0.008749926020629014	0.008250976562500002	0.0085	1.6312341350307907e-11	1.1617082643078369e-10	7.04515785987514e-12
11	0.00925	0.009537993175166203	0.009545639475856684	0.008942871093749999	0.00925	3.007670667697689e-11	2.1450568231384803e-10	1.402000737726894e-11
12	0.01	0.010344860440622753	0.010345855011727854	0.009648437500000002	0.01	5.369919296578355e-11	3.8355484066610046e-10	2.6858784293870563e-11
13	0.01075	0.011156910747639814	0.011150066695418565	0.010351074218749999	0.01075	9.213424022061442e-11	6.590889500834862e-10	4.920205735892136e-11
14	0.0115	0.0119488134190562	0.01195731462995298	0.0110283203125	0.0115	1.5051928142521104e-10	1.0783840903583197e-09	8.545331976750337e-11
15	0.01225	0.012769464081242082	0.012769422953145934	0.011723632812500002	0.01225	2.421096145750618e-10	1.7373513131607732e-09	1.4559983774198315e-10
16	0.013000000000000001	0.0135953792041463	0.013585560513491558	0.012416015625000002	0.013	3.792539547417067e-10	2.7259680068780767e-09	2.408309194429359e-10
17	0.01375	0.014395523740153623	0.01440432457804268	0.013078613281249998	0.01375	5.717810873466007e-10	4.1165581828733755e-09	3.822917260531966e-10
18	0.0145	0.015230120642071215	0.01522839772377614	0.013763671875000001	0.0145	8.566573426625527e-10	6.178399221054565e-09	6.016290399896151e-10
19	0.01525	0.016070070571427817	0.016056536306131377	0.01444580078125	0.01525	1.2595096743354913e-09	9.100509120590905e-09	9.271208072092474e-10
20	0.016	0.016878363056811084	0.016886800843631863	0.01509375	0.016	1.7935273379383233e-09	1.2982856158194611e-08	1.3808744842025433e-09
21	0.01675	0.01772708718518367	0.01772291883052041	0.0157685546875	0.01675	2.5526687759672397e-09	1.8514994044871447e-08	2.0523637581093546e-09
22	0.0175	0.0185812613767175	0.018563141984410638	0.0164404296875	0.0175	3.582493817174414e-09	2.6039059030508183e-08	3.0031912026662333e-09
23	0.01825	0.019397614851086233	0.01940489473033412	0.017073730468749996	0.01825	4.888897249454548e-09	3.5609711526718435e-08	4.266322212176377e-09
24	0.019	0.020260669151730658	0.02025314677133679	0.01773828125	0.019	6.694254466797058e-09	4.887315033230699e-08	6.0745616349555664e-09
25	0.01975	0.02108162718146961	0.021102471307191503	0.018361328125	0.01975	8.929635780048264e-09	6.53465177906376e-08	8.414297265890713e-09
26	0.0205	0.02195361819019959	0.021958780802688756	0.019018554687499998	0.0205	1.1975233219269215e-08	8.786312860956103e-08	1.1707911837938179e-08
27	0.02125	0.02283123233615821	0.022819266862502845	0.019672851562499996	0.02125	1.5912751348600183e-08	1.1707848923681041e-07	1.6126635284108293e-08
28	0.022000000000000002	0.023660096411497415	0.023680057090796215	0.020281249999999997	0.022	2.06412318779751e-08	1.5229731037749716e-07	2.1658976320781953e-08
29	0.02275	0.024546781724785936	0.02454866144766764	0.02092822265625	0.02275	2.6980892711675465e-08	1.9970683694595093e-07	2.929890123223866e-08
30	0.0235	0.025439218273309812	0.02542149429066632	0.021572265625000003	0.0235	3.501135364176189e-08	2.600343251904502e-07	3.931900429895996e-08
31	0.02425	0.02627593596628594	0.02629375186895474	0.022166015625	0.02425	4.44133207122127e-08	3.3101235859950284e-07	5.153216211389866e-08
32	0.025	0.027177602235384072	0.02717477302387837	0.022802734375	0.025	5.6879893110964154e-08	4.256152681854364e-07	6.817592199809264e-08
