Stock Solution c_S1=0.028569946289062502,c_Ion1=0.105,c_Stot=0.2740313197122094
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	fraction_of_Micelles	mean size	percent neutral
0	0.001	0.001006860928069633	0.001007227948718497	0.000998046875	0.001	1.3547045729545394e-18	9.540979117872439e-18	0.0	9.475965202229597e-15	7.042848535650888	0.0
1	0.00175	0.0017736397249485713	0.0017721624133950054	0.00174658203125	0.00175	7.11468325568721e-17	4.991666802123262e-16	6.288372600415926e-18	2.814363442535096e-13	7.016007069792056	0.01259774109470026
2	0.0025	0.0025454591438821427	0.0025451960219436023	0.002490234375	0.0025	8.90226298279926e-16	6.250208683944436e-15	1.1058862159352145e-16	2.4554346900308476e-12	7.020921192758448	0.017693588676103246
3	0.00325	0.003324296134541235	0.0033263255487603663	0.0032309570312499996	0.00325	5.7553609867686036e-15	4.044637888500624e-14	9.28510740516586e-16	1.2166900073897294e-11	7.027600697504676	0.0229565851409455
4	0.004	0.004118298710316668	0.004115762979430999	0.0039765625	0.004	2.571719563327276e-14	1.8090303560702736e-13	5.08534186982601e-15	4.3926642609447144e-11	7.034322022770478	0.028110870847257715
5	0.00475	0.004912785980497029	0.004913128698121019	0.0047128906250000005	0.00475	8.821089697334527e-14	6.21103862785688e-13	2.062326004415027e-14	1.2642599642064004e-10	7.041123989175252	0.033204205093257215
6	0.0055	0.005714328993695291	0.005718557562539772	0.005446289062499999	0.0055	2.535179083136502e-13	1.7868076809812727e-12	6.834116605958229e-14	3.1268897589772756e-10	7.048053105466023	0.038247633915503954
7	0.00625	0.006535960413262029	0.006532597389417809	0.00618896484375	0.00625	6.477721751706317e-13	4.570161957206942e-12	1.9760408587199407e-13	6.99233420681938e-10	7.0551995475926415	0.04323787378265254
8	0.006999999999999999	0.007353310916146224	0.007354251895512682	0.0069179687500000005	0.007	1.4745185283008626e-12	1.0413585792290458e-11	5.016976417637764e-13	1.4161764558907139e-09	7.062363471478642	0.048177222694530515
9	0.00775	0.008177762388028685	0.008183941786587667	0.00764404296875	0.00775	3.0954164996745478e-12	2.188347246467881e-11	1.1612585892883942e-12	2.6759731362106738e-09	7.069637467843064	0.053065553977447256
10	0.0085	0.009027460278355548	0.00902270338951201	0.0083837890625	0.0085	6.169033723462913e-12	4.3659376461335775e-11	2.52807323686266e-12	4.836285634622456e-09	7.077182330076178	0.05790447417638893
11	0.00925	0.009867894068220223	0.009868619881679381	0.009105468749999998	0.00925	1.1476862036318564e-11	8.130999866462485e-11	5.097691366251489e-12	8.23985321513387e-09	7.084689038460088	0.06269452035385799
12	0.01	0.010715481724239025	0.01072254922687085	0.009824218750000002	0.01	2.038546954429803e-11	1.4457991574789997e-10	9.749985541152029e-12	1.3492619321150259e-08	7.092302457577684	0.06743665253030588
13	0.01075	0.01159371905410832	0.011586173044861725	0.010561035156249999	0.01075	3.5297990435376764e-11	2.506240163319129e-10	1.8077954064277257e-11	2.1617223529588844e-08	7.100234694401457	0.07213177064537898
14	0.0115	0.012457483048017335	0.012456342056160906	0.011275390625	0.0115	5.823348144512631e-11	4.139281122722549e-10	3.178169012685306e-11	3.3227266750174984e-08	7.108077724363798	0.07678069979926644
15	0.01225	0.013328462199793086	0.01333450688062301	0.01198681640625	0.01225	9.323585495414586e-11	6.634687885892498e-10	5.399597262367717e-11	4.9778344916606336e-08	7.116026220980642	0.08138434475341356
16	0.013000000000000001	0.014206669587914668	0.014220657032837548	0.0126953125	0.013	1.4538588890747414e-10	1.0357407691924392e-09	8.90153315641351e-11	7.290524797405884e-08	7.124080452206754	0.08594363977150365
17	0.01375	0.015123121032239107	0.015117586074812497	0.013427734375	0.01375	2.246332995227713e-10	1.6022028564988133e-09	1.4493481068078573e-10	1.0594392870911207e-07	7.1325260319937405	0.09045971307122874
18	0.0145	0.016017777268971106	0.016020001028266555	0.0141318359375	0.0145	3.350684256029811e-10	2.3926608923308113e-09	2.2714306477378265e-10	1.4937533792318132e-07	7.140812769884349	0.09493324586941829
19	0.01525	0.016919735165891327	0.01693039190997297	0.0148330078125	0.01525	4.904526182710076e-10	3.5063481042263422e-09	3.484096865180586e-10	2.0723421908487235e-07	7.14920865666345	0.09936540131258115
20	0.016	0.017865956203685487	0.017852581549068058	0.0155625	0.016	7.15972750531936e-10	5.124975784032149e-09	5.317554938044644e-10	2.8685706634470203e-07	7.158059828707893	0.10375765978470597
21	0.01675	0.01878460856428172	0.018779281133247734	0.01625927734375	0.01675	1.0144499599854294e-09	7.27026043881307e-09	7.859912651286827e-10	3.8703284201711915e-07	7.16670188337086	0.10811046890873173
22	0.0175	0.019710646608867705	0.019713953568530188	0.016953125	0.0175	1.4171476123634958e-09	1.0168689730527536e-08	1.1432184851556393e-09	5.158983331349821e-07	7.175462627755735	0.11242534834390418
23	0.01825	0.020644090532011623	0.020656592770279685	0.01764404296875	0.01825	1.9541740257639047e-09	1.4039464250881206e-08	1.6384558154669548e-09	6.800718214789363e-07	7.18434697513342	0.11670358542094048
24	0.019	0.021630257598573805	0.021612664474499093	0.018369140625	0.019	2.701745232610833e-09	1.9435786882682216e-08	2.350711104937009e-09	8.98546251430853e-07	7.19378964681301	0.12094756539193958
25	0.01975	0.02258074391934676	0.022571681103170985	0.019055664062499998	0.01975	3.6411895744443594e-09	2.6227354885111076e-08	3.2825372836553512e-09	1.1614920650439673e-06	7.202963303308187	0.1251570087046332
