Stock Solution c_S1=0.0258270263671875,c_Ion1=0.105,c_Stot=0.28536348134241507
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	Vnew	Vstock
0	0.001	0.001007577919042679	0.0010079493442255228	0.000998046875	0.001	4.629950633277581e-18	3.2742905609062234e-17	4.336808689942018e-19	0.000996	2.698255189744763e-06
1	0.00175	0.0017758427960058423	0.0017743743480345409	0.00174658203125	0.00175	2.4435305916727513e-16	1.7145573155685767e-15	2.3418766925686896e-17	0.0009986982551897447	2.733642814580199e-06
2	0.0025	0.0025499616471838884	0.0025497069259799183	0.002490234375	0.0025	3.0722320337199744e-15	2.1581261083758463e-14	4.211041237933699e-16	0.0010014318980043249	2.7765502825888913e-06
3	0.00325	0.003331916787443174	0.0033339437596343873	0.0032309570312499996	0.00325	1.99565423654181e-14	1.4033392503609576e-13	3.5388358909926865e-15	0.0010042084482869138	2.8493220067391396e-06
4	0.004	0.0041298836640079875	0.004127318366585006	0.0039765625	0.004	8.959269387823675e-14	6.306951488843637e-13	1.947140365610167e-14	0.0010070577702936529	2.8702157156652525e-06
5	0.00475	0.004929149654268599	0.0049294137459330555	0.0047128906250000005	0.00475	3.087312919166967e-13	2.1756754384205657e-12	7.934711915291714e-14	0.0010099279860093181	2.9152026594173836e-06
6	0.0055	0.005736306101263874	0.005740378878113293	0.005446289062499999	0.0055	8.913686562802057e-13	6.288441121993227e-12	2.6417496662434203e-13	0.0010128431886687354	3.0085436684134513e-06
7	0.00625	0.0065644491666427265	0.006560817154831277	0.00618896484375	0.00625	2.287979475438893e-12	1.61593360220591e-11	7.674798296886109e-13	0.001015851732337149	3.0137253345607018e-06
8	0.006999999999999999	0.0073891151715529246	0.007389633731364978	0.0069179687500000005	0.007	5.231701045720768e-12	3.699135876084059e-11	1.957764679538787e-12	0.0010188654576717097	3.0609955357310403e-06
9	0.00775	0.008221737021419017	0.008227292506907515	0.00764404296875	0.00775	1.1032272350506895e-11	7.809364786781625e-11	4.553024623987767e-12	0.0010219264532074406	3.1767139087323003e-06
10	0.0085	0.00908057744072197	0.009074934927065292	0.0083837890625	0.0085	2.208602485276291e-11	1.565236742301357e-10	9.959318092445102e-12	0.001025103167116173	3.1648546369489994e-06
11	0.00925	0.009930934751291863	0.009930453863487293	0.009105468749999998	0.00925	4.127295560700046e-11	2.928456817319347e-10	2.0177602644277925e-11	0.001028268021753122	3.2146367134457077e-06
12	0.01	0.010789325892511779	0.010794794880930785	0.009824218750000002	0.01	7.363807637129509e-11	5.231128395039031e-10	3.877564415388779e-11	0.0010314826584665677	3.354724223557758e-06
