Temperature=295.0
	x	y	K	H
0	0	1.0	1.0	0.0
1289	1	0.0	1.0	0.0
1290	1	1.0	7.230602498917899	5.066934231177758
1291	2	0.0	0.7879744174076352	-7.254823892894536
1292	2	1.0	11.39505958318205	-2.1878896617167785
1293	2	2.0	41.196573148737265	2.879044569460979
1294	3	0.0	1.629880934299861	-1.1435054331774883
1295	3	1.0	35.35506346946166	3.9234287980002693
1296	3	2.0	255.63841027169056	8.990363029178027
1297	3	3.0	616.1399093766285	14.057297260355785
1298	4	0.0	5.725229428792242	11.20811112351196
1299	4	1.0	165.58743285881397	16.275045354689716
1300	4	2.0	1795.9453587275116	21.341979585867477
1301	4	3.0	8657.17799915676	26.40891381704523
1302	4	4.0	15649.153218569987	31.475848048222993
1303	5	0.0	28.308559366214208	25.958703500615414
1304	5	1.0	1023.4397004705723	31.02563773179317
1305	5	2.0	14800.171311428596	36.09257196297093
1306	5	3.0	107014.15566882885	41.15950619414869
1307	5	4.0	386888.41069931025	46.226440425326444
1308	5	5.0	559487.2618409621	51.2933746565042
1309	6	0.0	176.81786911056057	40.103665897748805
1310	6	1.0	7670.9983574649505	45.170600128926566
1311	6	2.0	138664.84973170314	50.23753436010432
1312	6	3.0	1336840.5453095005	55.304468591282074
1313	6	4.0	7249621.940677241	60.371402822459835
1314	6	5.0	20967653.80818835	65.4383370536376
1315	6	6.0	25268128.33698875	70.50527128481535
1316	7	0.0	1295.180305287286	50.81289984375988
1317	7	1.0	65554.53766371658	55.879834074937634
1318	7	2.0	1421996.4115400298	60.946768306115395
1319	7	3.0	17136484.67788938	66.01370253729316
1320	7	4.0	123907108.93461509	71.08063676847091
1321	7	5.0	537553830.8977925	76.14757099964866
1322	7	6.0	1295612690.997491	81.21450523082643
1323	7	7.0	1338294337.3080292	86.28143946200419
1324	8	0.0	10500.751272196801	55.17849735409817
1325	8	1.0	607414.0671140924	60.245431585275924
1326	8	2.0	15371893.850435654	65.31236581645368
1327	8	3.0	222296108.1761216	70.37930004763145
1328	8	4.0	2009168494.0974882	75.4462342788092
1329	8	5.0	11621998987.334724	80.51316850998695
1330	8	6.0	42017027460.12174	85.58010274116472
1331	8	7.0	86802406785.78827	90.64703697234248
1332	8	8.0	78454212427.1761	95.71397120352023
1333	9	0.0	89700.09522530112	50.09852222175299
1334	9	1.0	5837271.5942031285	55.16545645293074
1335	9	2.0	168827962.30363086	60.2323906841085
1336	9	3.0	2848365067.6129723	65.29932491528626
1337	9	4.0	30893093363.56937	70.36625914646402
1338	9	5.0	223375678073.92838	75.43319337764177
1339	9	6.0	1076760490719.2172	80.50012760881953
1340	9	7.0	3336697326398.751	85.5670618399973
1341	9	8.0	6031583006597.862	90.63399607117505
1342	10	1.0	2985940.848086828	133.37324985702088
1343	10	2.0	259542236.6034644	131.42554893291165
1344	10	3.0	13368759303.486357	129.47784800880245
1345	10	4.0	451901186768.5738	127.53014708469325
1346	10	5.0	10474638822830.826	125.58244616058404
1347	10	6.0	168605656257940.3	123.63474523647483
1348	10	7.0	1861008772227512.2	121.68704431236563
1349	10	8.0	1.348012803044612e+16	119.73934338825642
