Temperature=300.0
	x	y	K	H
753	15	6.0	1.0632208452179712e+22	132.22942297856804
754	15	7.0	2.662251137689777e+23	129.21841386334808
755	15	8.0	5.18477710273326e+24	126.20740474812811
756	15	9.0	7.853562246676569e+25	123.19639563290815
757	15	10.0	9.176963615865447e+26	120.18538651768819
758	15	11.0	8.123765867053545e+27	117.17437740246824
759	15	12.0	5.273721758648678e+28	114.16336828724828
760	15	13.0	2.3701519220096897e+29	111.15235917202831
761	16	2.0	2.5660947460156184e+16	149.82348163402528
762	16	3.0	2.3321717889950356e+18	146.81247251880532
763	16	4.0	1.476131227445856e+20	143.8014634035854
764	16	5.0	6.89949459418667e+21	140.79045428836542
765	16	6.0	2.4634274852668823e+23	137.77944517314546
766	16	7.0	6.853664039126405e+24	134.7684360579255
767	16	8.0	1.5016074126675142e+26	131.75742694270554
768	16	9.0	2.599470841390287e+27	128.74641782748557
769	16	10.0	3.54375802297566e+28	125.73540871226561
770	16	11.0	3.764468729292071e+29	122.72439959704566
771	16	12.0	3.054734862549089e+30	119.7133904818257
772	16	13.0	1.8305063070692038e+31	116.70238136660574
773	16	14.0	7.639158443989174e+31	113.69137225138579
774	16	15.0	1.9836512653431124e+32	110.68036313616582
775	17	3.0	4.2890106705599e+19	152.09492662286533
776	17	4.0	2.9235211513847423e+21	149.08391750764537
777	17	5.0	1.4803372156446822e+23	146.07290839242543
778	17	6.0	5.76596128842961e+24	143.06189927720547
779	17	7.0	1.764604720327144e+26	140.0508901619855
780	17	8.0	4.295745252862598e+27	137.03988104676554
781	17	9.0	8.366033283225242e+28	134.02887193154558
782	17	10.0	1.3034387986465035e+30	131.01786281632562
783	17	11.0	1.6153888030572627e+31	128.00685370110568
784	17	12.0	1.5729978963162204e+32	124.9958445858857
785	17	13.0	1.1782456987980071e+33	121.98483547066574
786	17	14.0	6.556150098513966e+33	118.9738263554458
787	17	15.0	2.5536416479742725e+34	115.96281724022583
788	17	16.0	6.2165729584833125e+34	112.95180812500587
789	18	3.0	8.105287759613092e+20	157.13891852402045
790	18	4.0	5.9194420736880496e+22	154.12790940880052
791	18	5.0	3.2278985409126374e+24	151.11690029358056
792	18	6.0	1.3620499878416655e+26	148.1058911783606
793	18	7.0	4.5473388976911635e+27	145.09488206314063
794	18	8.0	1.217702196060211e+29	142.08387294792067
795	18	9.0	2.634994111520406e+30	139.0728638327007
796	18	10.0	4.61852424350659e+31	136.06185471748074
797	18	11.0	6.541564059936811e+32	133.05084560226078
798	18	12.0	7.431550988217021e+33	130.03983648704082
799	18	13.0	6.679876438058023e+34	127.02882737182087
800	18	14.0	4.6461311732468814e+35	124.01781825660092
801	18	15.0	2.4129108064287017e+36	121.00680914138096
802	18	16.0	8.810967710980031e+36	117.99580002616099
803	18	17.0	2.0187649376023747e+37	114.98479091094103
804	19	3.0	1.5677147208657557e+22	161.97078958050906
805	19	4.0	1.2212598989314078e+24	158.9597804652891
806	19	5.0	7.135270152567894e+25	155.94877135006917
807	19	6.0	3.242412577032717e+27	152.9377622348492
808	19	7.0	1.1727208775482454e+29	149.92675311962924
809	19	8.0	3.425839283753114e+30	146.91574400440928
810	19	9.0	8.154516765923832e+31	143.9047348891893
811	19	10.0	1.58810531483161e+33	140.89372577396935
812	19	11.0	2.530522438783557e+34	137.88271665874942
813	19	12.0	3.2854888889115313e+35	134.87170754352945
814	19	13.0	3.445369142084713e+36	131.8606984283095
815	19	14.0	2.87567660081499e+37	128.84968931308953
816	19	15.0	1.8668088801105922e+38	125.83868019786956
817	19	16.0	9.089101136769184e+38	122.8276710826496
818	19	17.0	3.1237361135200204e+39	119.81666196742964
819	20	2.0	2.645814216391908e+21	169.62566204597536
820	20	3.0	3.091659559767642e+23	166.6146529307554
821	20	4.0	2.5589492005088756e+25	163.60364381553546
822	20	5.0	1.5947503715514115e+27	160.5926347003155
823	20	6.0	7.764505284586167e+28	157.58162558509554
824	20	7.0	3.0242998974550437e+30	154.57061646987557
825	20	8.0	9.571043481574727e+31	151.5596073546556
826	20	9.0	2.4853015750469816e+33	148.54859823943565
