Stock Solution c_S1=0.028569946289062502,c_Ion1=0.105,c_Stot=0.2740313197122094
	0	c_Stot	c_Iontot	c_S1	c_Ion1	Mcount	Scount	Ioncount	Vnew	Vstock
0	0.001	0.001006860928069633	0.001007227948718497	0.000998046875	0.001	1.3547045729545394e-18	9.540979117872439e-18	0.0	0.000996	2.805106110237762e-06
1	0.00175	0.0017736397249485713	0.0017721624133950054	0.00174658203125	0.00175	7.11468325568721e-17	4.991666802123262e-16	6.288372600415926e-18	0.0009988051061102377	2.839548162884414e-06
2	0.0025	0.0025454591438821427	0.0025451960219436023	0.002490234375	0.0025	8.90226298279926e-16	6.250208683944436e-15	1.1058862159352145e-16	0.0010016446542731221	2.881779341864851e-06
3	0.00325	0.003324296134541235	0.0033263255487603663	0.0032309570312499996	0.00325	5.7553609867686036e-15	4.044637888500624e-14	9.28510740516586e-16	0.001004526433614987	2.9550133326810337e-06
4	0.004	0.004118298710316668	0.004115762979430999	0.0039765625	0.004	2.571719563327276e-14	1.8090303560702736e-13	5.08534186982601e-15	0.001007481446947668	2.9742700119671933e-06
5	0.00475	0.004912785980497029	0.004913128698121019	0.0047128906250000005	0.00475	8.821089697334527e-14	6.21103862785688e-13	2.062326004415027e-14	0.0010104557169596353	3.0185331085682556e-06
6	0.0055	0.005714328993695291	0.005718557562539772	0.005446289062499999	0.0055	2.535179083136502e-13	1.7868076809812727e-12	6.834116605958229e-14	0.0010134742500682034	3.1129597498820977e-06
7	0.00625	0.006535960413262029	0.006532597389417809	0.00618896484375	0.00625	6.477721751706317e-13	4.570161957206942e-12	1.9760408587199407e-13	0.0010165872098180854	3.115772728773723e-06
8	0.006999999999999999	0.007353310916146224	0.007354251895512682	0.0069179687500000005	0.007	1.4745185283008626e-12	1.0413585792290458e-11	5.016976417637764e-13	0.0010197029825468591	3.1622508019275938e-06
9	0.00775	0.008177762388028685	0.008183941786587667	0.00764404296875	0.00775	3.0954164996745478e-12	2.188347246467881e-11	1.1612585892883942e-12	0.0010228652333487867	3.279674615765722e-06
10	0.0085	0.009027460278355548	0.00902270338951201	0.0083837890625	0.0085	6.169033723462913e-12	4.3659376461335775e-11	2.52807323686266e-12	0.0010261449079645524	3.264671677574493e-06
11	0.00925	0.009867894068220223	0.009868619881679381	0.009105468749999998	0.00925	1.1476862036318564e-11	8.130999866462485e-11	5.097691366251489e-12	0.0010294095796421268	3.3135676887465905e-06
12	0.01	0.010715481724239025	0.01072254922687085	0.009824218750000002	0.01	2.038546954429803e-11	1.4457991574789997e-10	9.749985541152029e-12	0.0010327231473308733	3.45596826495786e-06
13	0.01075	0.01159371905410832	0.011586173044861725	0.010561035156249999	0.01075	3.5297990435376764e-11	2.506240163319129e-10	1.8077954064277257e-11	0.0010361791155958312	3.4216503558082636e-06
14	0.0115	0.012457483048017335	0.012456342056160906	0.011275390625	0.0115	5.823348144512631e-11	4.139281122722549e-10	3.178169012685306e-11	0.0010396007659516395	3.473190136670657e-06
15	0.01225	0.013328462199793086	0.01333450688062301	0.01198681640625	0.01225	9.323585495414586e-11	6.634687885892498e-10	5.399597262367717e-11	0.0010430739560883101	3.5255902554116733e-06
16	0.013000000000000001	0.014206669587914668	0.014220657032837548	0.0126953125	0.013	1.4538588890747414e-10	1.0357407691924392e-09	8.90153315641351e-11	0.0010465995463437218	3.704624537833181e-06
