Temperature=305.0
	x	y	K	H
0	0	1.0	1.0	0.0
0	1	0.0	1.0	0.0
1	1	1.0	8.336073454032064	-0.6936632434121712
2	2	0.0	0.9967561030028951	21.9230079644787
3	2	1.0	16.618064180773775	21.22934472106653
4	2	2.0	69.26470183737467	20.535681477654357
5	3	0.0	3.142709179595166	39.354612833129686
6	3	1.0	78.59356369729845	38.66094958971752
7	3	2.0	655.161719994828	37.96728634630534
8	3	3.0	1820.4920740489565	37.27362310289317
9	4	0.0	18.51462437573659	55.03614876348867
10	4	1.0	617.357075079811	54.342485520076494
11	4	2.0	7719.500887847544	53.648822276664326
12	4	3.0	42900.21761970858	52.95515903325216
13	4	4.0	89404.84131796277	52.261495789839984
14	5	0.0	161.66825598914963	70.65214057692441
15	5	1.0	6738.392285554045	69.95847733351223
16	5	2.0	112343.4661089232	69.26481409010006
17	5	3.0	936503.385564545	68.5711508466879
18	5	4.0	3903380.5060078776	67.87748760327572
19	5	5.0	6507773.323423705	67.18382435986355
20	6	0.0	1821.784154325484	87.68948638331655
21	6	1.0	91119.1591670936	86.99582313990437
22	6	2.0	1898940.009716326	86.30215989649221
23	6	3.0	21106271.207727544	85.60849665308004
24	6	4.0	131957570.34625421	84.91483340966786
25	6	5.0	440003199.68879235	84.22117016625569
26	6	6.0	611316498.7691498	83.52750692284351
27	7	0.0	23975.19668942847	107.66989377432346
28	7	1.0	1399013.0047455966	106.97623053091128
29	7	2.0	34986825.51211617	106.28256728749912
30	7	3.0	486087912.32067287	105.58890404408695
31	7	4.0	4052064542.2222247	104.89524080067477
32	7	5.0	20266984598.665997	104.2015775572626
33	7	6.0	56315690768.73847	103.50791431385042
34	7	7.0	67064533551.82284	102.81425107043826
35	8	0.0	339462.45131387486	132.23844333336868
36	8	1.0	22638271.432305988	131.5447800899565
37	8	2.0	660500027.362064	130.85111684654433
38	8	3.0	11011953488.960724	130.15745360313215
39	8	4.0	114745566445.451	129.46379035972
40	8	5.0	765221976331.0403	128.77012711630783
41	8	6.0	3189473301667.561	128.07646387289566
42	8	7.0	7596481063535.698	127.38280062948348
43	8	8.0	7915603017224.658	126.68913738607131
44	9	0.0	4803295.539700352	163.20438153988496
45	9	1.0	360365619.9633005	162.5107182964728
46	9	2.0	12016137113.287504	161.8170550530606
47	9	3.0	233723937090.1994	161.12339180964844
48	9	4.0	2922509861324.204	160.4297285662363
49	9	5.0	24362256874131.7	159.73606532282412
50	9	6.0	135390375205839.17	159.04240207941194
51	9	7.0	483696048293502.7	158.34873883599977
52	9	8.0	1008031446999915.5	157.6550755925876
53	9	9.0	933669354018395.6	156.96141234917542
54	10	1.0	221328122.75718793	95.0251096599879
55	10	2.0	19213216915.158936	90.95079235365719
56	10	3.0	988370534993.5321	86.87647504732648
57	10	4.0	33366358386745.945	82.80215774099577
58	10	5.0	772397799691917.9	78.72784043466507
59	10	6.0	1.2416830525446242e+16	74.65352312833436
60	10	7.0	1.3687485640243872e+17	70.57920582200364
61	10	8.0	9.901612266629842e+17	66.50488851567293
62	10	9.0	4.2446743199755996e+18	62.43057120934222
63	10	10.0	8.188330161666395e+18	58.356253903011506
64	11	0.0	13699384.917768154	104.54688431483648
65	11	1.0	2906997948.2193065	100.47256700850576
66	11	2.0	280392053487.90344	96.39824970217505
67	11	3.0	16226988472555.691	92.32393239584434
68	11	4.0	626064235446946.8	88.24961508951364
69	11	5.0	1.6908220480841076e+16	84.17529778318291
70	11	6.0	3.26173650335965e+17	80.10098047685221
71	11	7.0	4.494400912183461e+18	76.0266631705215
72	11	8.0	4.335036774748887e+19	71.95234586419079
73	11	9.0	2.7875489534073464e+20	67.87802855786008
74	11	10.0	1.0754828027625161e+21	63.803711251529364
75	11	11.0	1.8860871526319147e+21	59.72939394519866
76	12	1.0	41089249901.867645	105.56748505694233
77	12	2.0	4359552121339.294	101.49316775061162
78	12	3.0	280331300162228.0	97.4188504442809
79	12	4.0	1.2167604394391102e+16	93.34453313795021
80	12	5.0	3.755571506212142e+17	89.27021583161948
81	12	6.0	8.452278464853651e+18	85.19589852528878
82	12	7.0	1.3975841887904337e+20	81.12158121895807
83	12	8.0	1.685035161691524e+21	77.04726391262736
84	12	9.0	1.4446991634267233e+22	72.97294660629665
85	12	10.0	8.36083490228001e+22	68.89862929996593
86	12	11.0	2.9324993861289987e+23	64.82431199363523
87	13	0.0	2470593682.886942	114.48186110296172
88	13	1.0	619577518074.4253	110.407543796631
89	13	2.0	71712996988212.61	106.33322649030029
90	13	3.0	5072479199048001.0	102.25890918396958
91	13	4.0	2.446308673466646e+17	98.18459187763887
92	13	5.0	8.494439585757112e+18	94.11027457130817
93	13	6.0	2.1848641575531935e+20	90.03595726497745
94	13	7.0	4.214784864940934e+21	85.96163995864674
95	13	8.0	6.098003185800773e+22	81.88732265231603
96	13	9.0	6.535308803479328e+23	77.81300534598532
97	13	10.0	5.042861916590212e+24	73.7386880396546
98	13	11.0	2.6531183154988603e+25	69.66437073332389
99	13	12.0	8.530143535014366e+25	65.5900534269932
100	13	13.0	1.2657966978743217e+26	61.515736120662474
101	14	0.0	36630717344.30012	119.157263959242
102	14	1.0	9892918492407.377	115.08294665291129
103	14	2.0	1240477122663886.5	111.00862934658058
104	14	3.0	9.571934591602946e+16	106.93431204024986
105	14	4.0	5.077891158125933e+18	102.85999473391917
106	14	5.0	1.9591349627021738e+20	98.78567742758844
107	14	6.0	5.669001681839886e+21	94.71136012125774
108	14	7.0	1.2498258546041124e+23	90.63704281492703
109	14	8.0	2.1096408638899183e+24	86.56272550859632
110	14	9.0	2.7131152457374085e+25	82.4884082022656
111	14	10.0	2.6169125972986695e+26	78.41409089593489
112	14	11.0	1.8357244640816472e+27	74.33977358960419
113	14	12.0	8.853163319862815e+27	70.26545628327347
114	14	13.0	2.627459866302371e+28	66.19113897694277
115	15	1.0	166197894083080.34	119.67895246619203
116	15	2.0	2.244267023656181e+16	115.60463515986132
117	15	3.0	1.8760637737192737e+18	111.5303178535306
118	15	4.0	1.085724964428625e+20	107.45600054719989
119	15	5.0	4.6077984710552663e+21	103.3816832408692
120	15	6.0	1.481471146948487e+23	99.30736593453848
121	15	7.0	3.6744186666363144e+24	95.23304862820777
122	15	8.0	7.088259528655908e+25	91.15873132187706
123	15	9.0	1.0635211049015418e+27	87.08441401554634
124	15	10.0	1.2309724540964247e+28	83.01009670921563
125	15	11.0	1.0793856140476611e+29	78.93577940288492
126	15	12.0	6.94074905266712e+29	74.86146209655422
127	15	13.0	3.089834489505651e+30	70.7871447902235
128	15	14.0	8.515068543290516e+30	66.7128274838928
129	16	2.0	4.226276642365648e+17	120.20336397552961
130	16	3.0	3.804658437917462e+19	116.1290466691989
131	16	4.0	2.3853384395155817e+21	112.05472936286819
132	16	5.0	1.1043639469713603e+23	107.98041205653749
133	16	6.0	3.9057516659857047e+24	103.90609475020678
134	16	7.0	1.076360020638526e+26	99.83177744387606
135	16	8.0	2.3359366059889154e+27	95.75746013754535
136	16	9.0	4.005525507375562e+28	91.68314283121464
137	16	10.0	5.408894533960157e+29	87.60882552488393
138	16	11.0	5.691386118442283e+30	83.53450821855321
139	16	12.0	4.574649029021176e+31	79.46019091222252
140	16	13.0	2.7153473378730186e+32	75.38587360589179
141	16	14.0	1.1224566613208617e+33	71.31155629956109
142	16	15.0	2.887083135936087e+33	67.23723899323038
143	16	16.0	3.4808898367613306e+33	63.162921686899665
144	17	2.0	8.247763437257112e+18	124.88511719843257
145	17	3.0	7.955311176850133e+20	120.81079989210185
146	17	4.0	5.371260158147181e+22	116.73648258577114
147	17	5.0	2.694018090281961e+24	112.66216527944044
148	17	6.0	1.0393970383507604e+26	108.58784797310973
149	17	7.0	3.1508453805020604e+27	104.51353066677902
150	17	8.0	7.5978038357665625e+28	100.4392133604483
151	17	9.0	1.4656796168802185e+30	96.3648960541176
152	17	10.0	2.261934407124832e+31	92.29057874778688
153	17	11.0	2.7767471409966918e+32	88.21626144145617
154	17	12.0	2.678288209173555e+33	84.14194413512547
155	17	13.0	1.987169592874775e+34	80.06762682879474
156	17	14.0	1.0952615972112251e+35	75.99330952246405
157	17	15.0	4.2257016182155665e+35	71.91899221613333
158	17	16.0	1.0189662800453788e+36	67.84467490980262
159	17	17.0	1.1562769354018581e+36	63.77035760347191
160	18	3.0	1.7092792807622326e+22	125.65504622628178
161	18	4.0	1.2365032657079072e+24	121.58072891995107
162	18	5.0	6.678889691548604e+25	117.50641161362037
163	18	6.0	2.791562427043256e+27	113.43209430728966
164	18	7.0	9.231696580466685e+28	109.35777700095895
165	18	8.0	2.4486978045992982e+30	105.28345969462823
166	18	9.0	5.248602151183279e+31	101.20914238829752
167	18	10.0	9.112491478788358e+32	97.13482508196681
168	18	11.0	1.2784548902103016e+34	93.0605077756361
169	18	12.0	1.4386434553219853e+35	88.9861904693054
170	18	13.0	1.2808906164521976e+36	84.91187316297467
171	18	14.0	8.824802293288275e+36	80.83755585664397
