	c_tot	H_plot	H_plot_1
0	0.002939780233812774	-9.708148614888344	0.15643929995454742
1	0.00422040062714214	-9.624294310389779	0.24029360445311387
2	0.005513443243219632	-9.541840763708665	0.3227471511342277
3	0.006832401875330857	-9.461706953817746	0.4028809610251451
4	0.008152939545894897	-9.38001410296853	0.4845738118743604
5	0.009485936383123407	-9.300744540027662	0.5638433748152308
6	0.010852988853870801	-9.225486657203424	0.6391012576394672
7	0.01221369430971552	-9.144684516405558	0.7199033984373352
8	0.013586911988711967	-9.068142685098945	0.7964452297439473
9	0.015002723522156543	-8.997942843778912	0.8666450710639814
10	0.016403902368744835	-8.916961831085377	0.9476260837575163
11	0.017817664679797354	-8.842722564356013	1.0218653504868793
12	0.019282975514195087	-8.777650060459196	1.0869378543836956
13	0.020724995635431422	-8.695583742867202	1.1690041719756907
14	0.022179691193427525	-8.623243493400311	1.2413444214425817
15	0.02364708225546663	-8.55146822714819	1.3131196876947044
16	0.025178626912840032	-8.493199191366019	1.3713887234768731
17	0.026674718590813926	-8.40850821854977	1.45607969629312
18	0.02818362967958228	-8.338113195821876	1.5264747190210173
19	0.029705391013147606	-8.26811388454239	1.5964740303005014
20	0.0313047391574297	-8.21639627932732	1.648191635515571
21	0.03285574841600111	-8.127928825319321	1.736659089523571
22	0.03441977110360085	-8.058790347770508	1.8057975670723847
23	0.03599685149445677	-7.989874738463715	1.8747131763791778
24	0.03758703750730686	-7.921137946359498	1.9434499684833946
25	0.0391903809325795	-7.852535061535587	2.0120528533073037
26	0.040893126009384925	-7.809812033211018	2.0547758816318744
27	0.042526732970342505	-7.713849908967392	2.150738005875502
28	0.04417373782756146	-7.645273300887034	2.2193146139558575
29	0.045834211848129525	-7.576634173056119	2.2879537417867737
30	0.047508231742512425	-7.507880054101933	2.3567078607409617
31	0.049195880071124576	-7.438956249033537	2.4256316658093535
32	0.050897245699596735	-7.369805490512604	2.494782424330289
33	0.05272636749417872	-7.335426349739978	2.5291615651029136
34	0.05445968557237773	-7.228104994812255	2.6364829200306388
35	0.05620710106198897	-7.157760605229181	2.706827309613713
36	0.05796873607855586	-7.0869157552180155	2.7776721596248772
37	0.05974472288919854	-7.015489805053789	2.849098109789102
38	0.06153520534802832	-6.943393151236604	2.921194763606289
39	0.06334034096752011	-6.870523450530852	2.9940644643120407
40	0.06516030419239911	-6.7967588613203604	3.0678290535225323
41	0.06699529208862234	-6.721945231201918	3.142642683640975
42	0.06884553512011908	-6.645870623119713	3.2187172917231783
43	0.0707113190382514	-6.56821273185172	3.296375182991173
44	0.07259303169751864	-6.488427232441403	3.3761606824014905
45	0.07449126686370916	-6.405505887492966	3.459082027349926
46	0.07640706011256335	-6.317445757776727	3.547142157066165
47	0.0783424337465596	-6.22007882455709	3.644509090285799
48	0.08030166906574987	-6.104507748568366	3.7600801662745247
49	0.08209957479117048	-5.888972878425003	3.9756150364178895
50	0.08413721033192052	-5.743491868635863	4.121096046207029
51	0.08605433080208105	-5.320603150975579	4.5439847638673125
52	0.0881246597432375	-4.761285575585748	5.1033023392571435
53	0.09037141944426942	-3.8663214608592082	5.9982664539836845
54	0.09264129658976142	-2.679288140380041	7.185299774462849
55	0.09513860046230996	-1.606223586209807	8.258364328633087
56	0.09783871639493857	-0.728350854987647	9.136237059855244
57	0.10052492704959187	-0.04698590284220616	9.817602012000687
58	0.10327588726534892	0.36949942671140634	10.2340873415543
59	0.10611359068009342	0.6292475026850107	10.493835417527903
60	0.10920182270900333	0.7411321518879757	10.605720066730868
61	0.11199031910200193	0.9766839723437493	10.841271887186645
62	0.11520199753737564	0.9186226903148738	10.783210605157766
63	0.11829075346962097	1.0101357071431953	10.874723621986085
64	0.12142964812235615	1.0262884057221875	10.890876320565082
65	0.1245523731955169	1.0451317284944728	10.909719643337365
66	0.1280410725737154	0.9640597086196301	10.828647623462524
67	0.1309645215907289	1.094498777931515	10.959086692774406
68	0.13421151176941143	1.0010501358238333	10.865638050666726
69	0.13787574576648584	0.9089071215861869	10.773495036429077
70	0.1413929407574145	0.9163400057779872	10.78092792062088
71	0.14470384764633812	0.9303854189702627	10.794973333813157
72	0.1481574353702716	0.8830796388389155	10.747667553681808
73	0.151368680880131	0.8965699182533654	10.76115783309626
74	0.1547677977043234	0.8409210734167226	10.705508988259615
75	0.1584277970993914	0.7817003844325746	10.646288299275467
76	0.16189325221400142	0.7781594542096363	10.642747369052527
77	0.16573359770020032	0.7128155202430109	10.577403435085905
78	0.16944069098915132	0.6990711999510039	10.563659114793898
79	0.17302056071286542	0.6842472813690561	10.548835196211948
80	0.1764889009327104	0.6676717047862769	10.53225961962917
81	0.1806246188162549	0.5941755386249469	10.45876345346784
82	0.18399895277157227	0.6203765469026865	10.484964461745578
83	0.18821588215632787	0.5440003860082522	10.408588300851145
84	0.1916814969301203	0.560253624532956	10.424841539375848
85	0.19526489353324833	0.5289857359094192	10.393573650752312
86	0.1995434881524429	0.47628902264534717	10.340876937488241
87	0.20310705537012255	0.4808510297312804	10.345438944574173
88	0.20756002192971143	0.4298536332707772	10.294441548113669
89	0.21134927663257272	0.426363969488611	10.290951884331502
90	0.2156561316948519	0.3932082048676498	10.257796119710541
91	0.21932915354328272	0.38632937204355955	10.250917286886452
92	0.22368684472538916	0.35469571373514	10.219283628578031
93	0.22747545592621435	0.3436074062308681	10.208195321073761
94	0.23141672296172724	0.3232569428651201	10.187844857708011
95	0.23559679663202468	0.3035317780421041	10.168119692884996
96	0.2401132048040933	0.2849222582593517	10.149510173102241
